DATE,open,high,low,close,volume
01/01/1900,1.19,1.19,1.19,1.19,0
01/01/1901,0.96,0.96,0.96,0.96,0
01/01/1902,0.8,0.8,0.8,0.8,0
01/01/1903,0.94,0.94,0.94,0.94,0
01/01/1904,0.86,0.86,0.86,0.86,0
01/01/1905,0.62,0.62,0.62,0.62,0
01/01/1906,0.73,0.73,0.73,0.73,0
01/01/1907,0.72,0.72,0.72,0.72,0
01/01/1908,0.72,0.72,0.72,0.72,0
01/01/1909,0.7,0.7,0.7,0.7,0
01/01/1910,0.61,0.61,0.61,0.61,0
01/01/1911,0.61,0.61,0.61,0.61,0
01/01/1912,0.74,0.74,0.74,0.74,0
01/01/1913,0.95,0.95,0.95,0.95,0
01/01/1914,0.81,0.81,0.81,0.81,0
01/01/1915,0.64,0.64,0.64,0.64,0
01/01/1916,1.1,1.1,1.1,1.1,0
01/01/1917,1.56,1.56,1.56,1.56,0
01/01/1918,1.98,1.98,1.98,1.98,0
01/01/1919,2.01,2.01,2.01,2.01,0
01/01/1920,3.07,3.07,3.07,3.07,0
01/01/1921,1.73,1.73,1.73,1.73,0
01/01/1922,1.61,1.61,1.61,1.61,0
01/01/1923,1.34,1.34,1.34,1.34,0
01/01/1924,1.43,1.43,1.43,1.43,0
01/01/1925,1.68,1.68,1.68,1.68,0
01/01/1926,1.88,1.88,1.88,1.88,0
01/01/1927,1.3,1.3,1.3,1.3,0
01/01/1928,1.17,1.17,1.17,1.17,0
01/01/1929,1.27,1.27,1.27,1.27,0
01/01/1930,1.19,1.19,1.19,1.19,0
01/01/1931,0.65,0.65,0.65,0.65,0
01/01/1932,0.87,0.87,0.87,0.87,0
01/01/1933,0.67,0.67,0.67,0.67,0
01/01/1934,1,1,1,1,0
01/01/1935,0.97,0.97,0.97,0.97,0
01/01/1936,1.09,1.09,1.09,1.09,0
01/01/1937,1.18,1.18,1.18,1.18,0
01/01/1938,1.13,1.13,1.13,1.13,0
01/01/1939,1.02,1.02,1.02,1.02,0
01/01/1940,1.02,1.02,1.02,1.02,0
01/01/1941,1.14,1.14,1.14,1.14,0
01/01/1942,1.19,1.19,1.19,1.19,0
01/01/1943,1.2,1.2,1.2,1.2,0
01/01/1944,1.21,1.21,1.21,1.21,0
01/01/1945,1.22,1.22,1.22,1.22,0
01/01/1946,1.41,1.41,1.41,1.41,0
01/01/1947,1.93,1.93,1.93,1.93,0
01/01/1948,2.6,2.6,2.6,2.6,0
01/01/1949,2.54,2.54,2.54,2.54,0
01/01/1950,2.51,2.51,2.51,2.51,0
01/01/1951,2.53,2.53,2.53,2.53,0
01/01/1952,2.53,2.53,2.53,2.53,0
01/01/1953,2.68,2.68,2.68,2.68,0
01/01/1954,2.78,2.78,2.78,2.78,0
01/01/1955,2.77,2.77,2.77,2.77,0
01/01/1956,2.79,2.79,2.79,2.79,0
01/01/1957,3.09,3.09,3.09,3.09,0
01/01/1958,3.01,3.01,3.01,3.01,0
01/01/1959,2.9,2.9,2.9,2.9,0
01/01/1960,2.88,2.88,2.88,2.88,0
01/01/1961,2.89,2.89,2.89,2.89,0
01/01/1962,2.9,2.9,2.9,2.9,0
01/01/1963,2.89,2.89,2.89,2.89,0
01/01/1964,2.88,2.88,2.88,2.88,0
01/01/1965,2.86,2.86,2.86,2.86,0
01/01/1966,2.88,2.88,2.88,2.88,0
01/01/1967,2.92,2.92,2.92,2.92,0
01/01/1968,2.94,2.94,2.94,2.94,0
01/01/1969,3.09,3.09,3.09,3.09,0
01/01/1970,3.18,3.18,3.18,3.18,0
01/01/1971,3.39,3.39,3.39,3.39,0
01/01/1972,3.39,3.39,3.39,3.39,0
01/01/1973,3.89,3.89,3.89,3.89,0
01/01/1974,6.87,6.87,6.87,6.87,0
01/01/1975,7.67,7.67,7.67,7.67,0
01/01/1976,8.19,8.19,8.19,8.19,0
01/01/1977,8.57,8.57,8.57,8.57,0
01/01/1978,9,9,9,9,0
01/01/1979,12.64,12.64,12.64,12.64,0
01/01/1980,21.59,21.59,21.59,21.59,0
01/01/1981,31.77,31.77,31.77,31.77,0
01/01/1982,28.52,28.52,28.52,28.52,0
01/01/1983,26.19,26.19,26.19,26.19,0
01/01/1984,25.88,25.88,25.88,25.88,0
01/01/1985,24.09,24.09,24.09,24.09,0
01/01/1986,12.51,12.51,12.51,12.51,0
01/01/1987,15.4,15.4,15.4,15.4,0
01/01/1988,12.58,12.58,12.58,12.58,0
01/01/1989,15.86,15.86,15.86,15.86,0
01/01/1990,20.03,20.03,20.03,20.03,0
01/01/1991,16.54,16.54,16.54,16.54,0
01/01/1992,15.99,15.99,15.99,15.99,0
01/01/1993,14.25,14.25,14.25,14.25,0
01/01/1994,13.19,13.19,13.19,13.19,0
01/01/1995,14.62,14.62,14.62,14.62,0
01/01/1996,18.46,18.46,18.46,18.46,0
01/01/1997,17.23,17.23,17.23,17.23,0
01/01/1998,10.87,10.87,10.87,10.87,0
01/01/1999,15.56,15.56,15.56,15.56,0
01/01/2000,26.72,26.72,26.72,26.72,0
01/01/2001,21.84,21.84,21.84,21.84,0
01/01/2002,22.51,22.51,22.51,22.51,0
01/01/2003,27.56,27.56,27.56,27.56,0
01/01/2004,36.77,36.77,36.77,36.77,0
01/01/2005,50.28,50.28,50.28,50.28,0
01/01/2006,59.69,59.69,59.69,59.69,0
01/01/2007,66.52,66.52,66.52,66.52,0
01/01/2008,94.04,94.04,94.04,94.04,0
01/01/2009,56.35,56.35,56.35,56.35,0
01/01/2010,74.71,74.71,74.71,74.71,0
01/01/2011,95.73,95.73,95.73,95.73,0
01/01/2012,94.52,94.52,94.52,94.52,0
01/01/2013,95.99,95.99,95.99,95.99,0
01/01/2014,87.39,87.39,87.39,87.39,0
01/01/2015,44.39,44.39,44.39,44.39,0
01/01/2016,38.29,38.29,38.29,38.29,0
01/01/2017,48.05,48.05,48.05,48.05,0
01/01/2018,61.4,61.4,61.4,61.4,0
01/01/2019,55.59,55.59,55.59,55.59,0
