year,SPX
1900,7.68
1901,8.58
1902,8.8
1903,7.14
1904,8.9
1905,10.67
1906,10.42
1907,6.93
1908,9.6
1909,10.61
1910,9.1
1911,9.27
1912,9.48
1913,8.44
1914,7.47
1915,10.7
1916,10.34
1917,7.96
1918,8.6
1919,9.43
1920,7.64
1921,8.02
1922,9.54
1923,9.11
1924,11.3
1925,13.92
1926,14.36
1927,17.7
1928,24.35
1929,21.45
1930,15.34
1931,8.12
1932,6.89
1933,10.1
1934,9.5
1935,13.43
1936,17.18
1937,10.55
1938,13.21
1939,12.49
1940,10.58
1941,8.69
1942,9.77
1943,11.67
1944,13.28
1945,17.36
1946,15.3
1947,15.3
1948,15.2
1949,16.76
1950,20.41
1951,23.77
1952,26.57
1953,24.81
1954,35.98
1955,45.48
1956,46.67
1957,39.99
1958,55.21
1959,59.89
1960,58.11
1961,71.55
1962,63.1
1963,75.02
1964,84.75
1965,92.43
1966,80.33
1967,96.47
1968,103.86
1969,92.06
1970,92.15
1971,102.09
1972,118.05
1973,97.55
1974,68.56
1975,90.19
1976,107.46
1977,95.1
1978,96.11
1979,107.94
1980,135.76
1981,122.55
1982,140.64
1983,164.93
1984,167.24
1985,211.28
1986,242.17
1987,247.08
1988,277.72
1989,353.4
1990,330.22
1991,417.09
1992,435.71
1993,466.45
1994,459.27
1995,615.93
1996,740.74
1997,970.43
1998,1229.23
1999,1469.25
2000,1320.28
2001,1148.08
2002,879.82
2003,1111.92
2004,1211.92
2005,1248.29
2006,1418.3
2007,1468.36
2008,903.25
2009,1115.1
2010,1257.64
2011,1257.6
2012,1426.19
2013,1848.36
2014,2058.9
2015,2043.94
2016,2238.83
