,GLD_LNG,OIL_LNG,EQ_LNG,LTB_LNG,RE_LNG
1960-01-01,0.0,0.0,0.0,0.0,0.0
1961-01-01,-0.010511796726476175,-0.006512553686086164,0.0,0.0,0.0
1962-01-01,-0.020913410778189534,-0.012994512080071297,-0.10614364547594979,0.0,0.0
1963-01-01,-0.034507893741584916,-0.02618530962271881,0.0,-0.01613622692121197,0.0
1964-01-01,-0.043842470015998614,-0.03921132340246247,0.0,0.0,0.0
1965-01-01,-0.05281716486309218,-0.05537753378089538,0.0,-0.014773639637374658,0.0
1966-01-01,-0.06197495163069233,-0.058236587603750944,-0.09122537822046783,0.0,0.0
1967-01-01,-0.07606728216647363,-0.05465706150719285,0.0,-0.06059716715156327,0.0
1968-01-01,0.0,-0.05765278783776884,0.0,-0.07105276119405801,0.0
1969-01-01,0.0,-0.019427011686801943,-0.12364762880111713,-0.13121247945893455,0.0
1970-01-01,-0.13610961755872097,-0.0009067381547327447,-0.11255920391819785,-0.017755333065537227,0.0
1971-01-01,-0.035474109995950576,0.0,-0.0024477087320542434,0.0,0.0
