,uniform,onlystocks,vanillariskparity,sixtyforty,riskparity
1960-01-01,0.0,0.0,0.0,0.0,0.0
1961-01-01,0.0,0.0,0.0,0.0,0.0
1962-01-01,-0.0012608974359377134,-0.10614364411695065,0.0,-0.04031104727384016,0.0
1963-01-01,0.0,0.0,0.0,0.0,0.0
1964-01-01,0.0,0.0,0.0,0.0,0.0
1965-01-01,0.0,0.0,0.0,0.0,0.0
1966-01-01,-0.002557386251077376,-0.09122537737916592,0.0,-0.036508518445364624,-0.01072833773997317
1967-01-01,0.0,0.0,0.0,0.0,0.0
1968-01-01,0.0,0.0,0.0,0.0,0.0
1969-01-01,0.0,-0.12364762787918637,0.0,-0.06539773355250089,0.0
1970-01-01,0.0,-0.11255920307894363,0.0,-0.010780650902041944,0.0
1971-01-01,0.0,-0.0024477087138038423,0.0,0.0,0.0
