,vanillariskparity,riskparity_nested,sixtyforty,riskparity,uniform
VTI,0.03933259677890632,0.013199396045834403,0.1199903312858391,0.0359696514227653,0.038885487022583085
VEU,0.03930818769459604,0.014720619786817204,0.12009411479341968,0.037927037311888574,0.03912129758297442
VWO,0.03981253931052251,0.014844952391350282,0.12067591786987193,0.038532391360964306,0.03973843513766236
VNQ,0.038761028023317094,0.009565174815516364,0.11730951695333856,0.025865533398719855,0.03826682053667027
VNQI,0.038105102316149116,0.014864065786307739,0.11647494592829291,0.03502581111451647,0.03834067876183255
BND,0.1994149888794433,0.312295710916113,0.10052458947306882,0.3343357693309161,0.09941659195548598
EMLC,0.19959676134213125,0.09745743082113176,0.10082143312109233,0.06983220078673943,0.09938425863929681
BWX,0.15007309307936076,0.26898472384489497,0.20228690848153077,0.232070610082565,0.19979400018693788
DBC,0.130247345085708,0.10230471651110785,0.0,0.06345860553853601,0.19983339164311123
IAU,0.123197456195048,0.1497948785332324,0.0,0.12493438941153372,0.20486574188441034
