,Year,Month,Day,asset_0,asset_1,asset_2,asset_3,asset_4
0,2020.0,4.0,1.0,0.12,0.13,0.2,0.15,0.4
1,2020.0,4.0,2.0,0.12,0.13,0.2,0.15,0.4
2,2020.0,4.0,3.0,0.12,0.13,0.2,0.15,0.4
3,2020.0,4.0,6.0,0.12,0.13,0.2,0.15,0.4
4,2020.0,4.0,7.0,0.12,0.13,0.2,0.15,0.4
5,2020.0,4.0,8.0,0.12,0.13,0.2,0.15,0.4
6,2020.0,4.0,9.0,0.12,0.13,0.2,0.15,0.4
7,2020.0,4.0,13.0,0.12,0.13,0.2,0.15,0.4
8,2020.0,4.0,14.0,0.12,0.13,0.2,0.15,0.4
9,2020.0,4.0,15.0,0.12,0.13,0.2,0.15,0.4
10,2020.0,4.0,16.0,0.12,0.13,0.2,0.15,0.4
11,2020.0,4.0,17.0,0.12,0.13,0.2,0.15,0.4
12,2020.0,4.0,20.0,0.12,0.13,0.2,0.15,0.4
13,2020.0,4.0,21.0,0.12,0.13,0.2,0.15,0.4
14,2020.0,4.0,22.0,0.12,0.13,0.2,0.15,0.4
15,2020.0,4.0,23.0,0.12,0.13,0.2,0.15,0.4
16,2020.0,4.0,24.0,0.12,0.13,0.2,0.15,0.4
17,2020.0,4.0,27.0,0.12,0.13,0.2,0.15,0.4
18,2020.0,4.0,28.0,0.12,0.13,0.2,0.15,0.4
19,2020.0,4.0,29.0,0.12,0.13,0.2,0.15,0.4
20,2020.0,4.0,30.0,0.12,0.13,0.2,0.15,0.4
21,2020.0,5.0,1.0,0.12,0.13,0.2,0.15,0.4
22,2020.0,5.0,4.0,0.12,0.13,0.2,0.15,0.4
23,2020.0,5.0,5.0,0.12,0.13,0.2,0.15,0.4
24,2020.0,5.0,6.0,0.12,0.13,0.2,0.15,0.4
25,2020.0,5.0,7.0,0.12,0.13,0.2,0.15,0.4
26,2020.0,5.0,8.0,0.12,0.13,0.2,0.15,0.4
27,2020.0,5.0,11.0,0.12,0.13,0.2,0.15,0.4
28,2020.0,5.0,12.0,0.12,0.13,0.2,0.15,0.4
29,2020.0,5.0,13.0,0.12,0.13,0.2,0.15,0.4
30,2020.0,5.0,14.0,0.12,0.13,0.2,0.15,0.4
31,2020.0,5.0,15.0,0.12,0.13,0.2,0.15,0.4
32,2020.0,5.0,18.0,0.12,0.13,0.2,0.15,0.4
33,2020.0,5.0,19.0,0.12,0.13,0.2,0.15,0.4
34,2020.0,5.0,20.0,0.12,0.13,0.2,0.15,0.4
35,2020.0,5.0,21.0,0.12,0.13,0.2,0.15,0.4
36,2020.0,5.0,22.0,0.12,0.13,0.2,0.15,0.4
37,2020.0,5.0,26.0,0.12,0.13,0.2,0.15,0.4
38,2020.0,5.0,27.0,0.12,0.13,0.2,0.15,0.4
39,2020.0,5.0,28.0,0.12,0.13,0.2,0.15,0.4
40,2020.0,5.0,29.0,0.12,0.13,0.2,0.15,0.4
41,2020.0,6.0,1.0,0.12,0.13,0.2,0.15,0.4
42,2020.0,6.0,2.0,0.12,0.13,0.2,0.15,0.4
43,2020.0,6.0,3.0,0.12,0.13,0.2,0.15,0.4
44,2020.0,6.0,4.0,0.12,0.13,0.2,0.15,0.4
45,2020.0,6.0,5.0,0.12,0.13,0.2,0.15,0.4
46,2020.0,6.0,8.0,0.12,0.13,0.2,0.15,0.4
47,2020.0,6.0,9.0,0.12,0.13,0.2,0.15,0.4
48,2020.0,6.0,10.0,0.12,0.13,0.2,0.15,0.4
49,2020.0,6.0,11.0,0.12,0.13,0.2,0.15,0.4
50,2020.0,6.0,12.0,0.12,0.13,0.2,0.15,0.4
51,2020.0,6.0,15.0,0.12,0.13,0.2,0.15,0.4
52,2020.0,6.0,16.0,0.12,0.13,0.2,0.15,0.4
53,2020.0,6.0,17.0,0.12,0.13,0.2,0.15,0.4
54,2020.0,6.0,18.0,0.12,0.13,0.2,0.15,0.4
55,2020.0,6.0,19.0,0.12,0.13,0.2,0.15,0.4
56,2020.0,6.0,22.0,0.12,0.13,0.2,0.15,0.4
57,2020.0,6.0,23.0,0.12,0.13,0.2,0.15,0.4
58,2020.0,6.0,24.0,0.12,0.13,0.2,0.15,0.4
59,2020.0,6.0,25.0,0.12,0.13,0.2,0.15,0.4
